restaurant_id,review_text
VISwpz_sdcgN04k1SuC0yw,"This place is pretty damn good for a quick grab n go place to eat. My wife n I are having a great meal. Must say their ""GREEN"" sauce. It's the way to go. Kinda like a ""Halal"" white sauce. Put it on everything! I must say that the food is definitely pretty good. I have only had one bad meal at this place which did not get addressed in a very good way. I am not the type to get into a yelling match but this one was close. It seems that I put a kink in their manufacturing chain by not liking my meal and they acted as though I was the first person to ever complain about the taste. Lets be serious...anyone could make a mistake and that day it was definitely their bad.

I would have given the place 4 stars but I hate the fact that you get rushed out of this place. They should just expand the place instead of walking up to you and taking your half eaten dish and saying finished. If I am waiting 20 minutes to get a seat I don't expect to only eat for 15 minutes and run. That has happened over and over again at this place but the food is good enough to keep me coming and $9.75 for a good sized meal with a drink is not that bad for midtown. I could do better with the Halal guy down the street but sometimes you just want to give in and eat at Sophie's.

I resentfully go back to this place about 20 times a year and I am pretty sure that won't change."
USQxn9Arz6tl-4AqtqpCkg,"holy crap! Best lamb gyro i ever had in my life. HANDS DOWN!  

I heard the only makes his lamb fresh every morning - not like that halal lamb you see on the carts.  This stuff is LEGITTTT In some respects I am short changing this place. I got a lamb and beef pita sandwich and it was a perfectly okay sandwich which I basically enjoyed eating. The tzatziki was pretty good, though poorly distributed through the sandwich. The meat was probably the sandwich's weakest point, pretty dry and stringy, though reasonably well flavored.

The reason this place only gets two stars is because I could have walked around the corner and gone to ANY Halal truck and gotten a superior version of basically the same sandwich for $3-6. The meat would have been more moist and there might have even been a great diversity of vegetables. The Pita Press pita sandwich, on the other hand, costs over $8 and is not without its flaws.

Skip this place and support our street vendors instead. They make better sandwiches for much less money. I had the beef/lamb platter with beans. The woman in front wasn't very nice. The salad which accompanied it was fine though the dressing lacked some flavor. The pita was a little cool. I mean I don't mind having generic pita but at least heat it. In terms of the meat, it was actually pretty good. There was a good mix of fat and flavor. The side that came with it, the beans/gigantes, were OK. It had a light tomato sauce which didn't add much but at least the beans were soft.

I might go back but this area has a ton of halal carts with much cheaper food with better service also. I'll go back when I am in the mood for something sweet or for their (pricey but delicious) sour cherry soda. 2.5 Great place if you like to wait in long lines with yuppies who don't know what real Greek food is. I paid almost $8 with tax for a pita Bfteki sandwich and I gave it 3 stars because it was tasty but also because it was unfulfilling; I'm not a model, I'm 5'9"" 180lb, however, when I order a kabab I want a kabab NOT two large strips of MEATLOAF which this was. I felt ripped off because they use too much wheat in the ""kebab."" There was also barely any lettuce and onion in it.

This is the typical service you get from a hyped up hip yuppy magnet restaurant. I'd go back to give it another chance but I'm not going to pay over $10 for a Greek salad with chicken when the halal carts have better and cheaper food than this. Perfectly fine option for guaranteed lean meat, partially bio-degradable containers, healthier Greek eats, and consistently good customer service.   I have co-workers who order from PP religiously.  We just did office catering and PP was accommodating to our needs, plus I received no complaints (no wows, but everyone satiated).  So you may find your match for personal or Greek catering needs here.  

Howsomever, for this guy, while I'd eat it again on someone else's dime, I'd probably get a salad or the fritters (opposed to the lamb & beef rotisserie I ordered).  

Why?  When it comes to my drachmas, I prefer more aggressive seasoning and juicier meats for my Greek grub, especially at this price point.  So I'd choose a quality halal cart or top-notch upscale Greek over Pita Press.

HUGE CAVEAT: Not to sound like ""that guy"", but to be fair - I've been an Astorian for about the past half decade, was going there for Greek food well before I became a resident, have had very successful Greek chefs as friends, and have been to some of the most renowned Greek eateries in the country.  All that ish makes for a pretty significant bias when it comes to this cuisine.  If you don't have that kind of bias going on, give 'em a whirl!  

LAST BITES: Good customer service can be hard to find, and you're spending about the same as you'd spend at Dig Inn, and skipping the grease of the street meat carts.  10% off when you place your first order directly through their website.  So could be worth givin' 'em a whirl."
j9TdOBSQ1LRw8v3hW5fObQ,"My bf and I had the Fried Chicken, Mac & Cheese, Catfish, Salad and a piece of Apple Pie.
Catfish-Delicious!
Mac & Cheese-Good
Salad-Good
Apple Pie- A MUST!!! Coming back for this one!!!!
Fried Chicken-Ehh, no flavor, crispy skin though, small pieces. Overpriced.

Overall  IF I come back, it will be for the Catfish & the Apple Pie or to try out any other deserts they have. Hands down the best fried chicken I've had so far is Darbars Halal Fried Chicken. Guilty pleasures ahoy!
I'll admit I don't eat a ton of fried chicken aside from Popeyes and random halal fried chicken places occasionally (its not something on the menu at home). But that made Pies 'N' Thighs that much better.
I came here with 6 other friends prepared to get extremely fat. I got myself a fried chicken box (picked the mac and cheese as a side). Some others got the superbowl, the insane burger, etc. I also ordered a slice of key lime pie. I wasn't expecting the hot sauce in the mac and cheese, but it was a nice twist. The chicken was also really really well made.
Overall delicious food. They're not so good at service though, and can take a while to get your food. Hopefully that will improve some time soon. Where do I begin...

I went to Pies 'n' Thighs because a friend recommended it (not sure if she'll be a friend after that experience)... We went on Tuesday, July 27th.  When I walked in, I was disturbed by the decor.  It looked like a late 70's early 80's garage sale gone wrong.  Mix matched chairs and tables, which looked extremely dirty as opposed to vintage which I think is what they were going for.  Anyway, since the food recommendation was good, I decided to give it a try anyway... BIG MISTAKE...

The waitress who looked like she just rolled out of bed in her dingy tank top, dirty converse sneakers and head full of dripping sweat was a complete turn off.  She was nice though.  She gave us all glasses of water, but to my surprise, the cup was dirty because the water looked to have grease floating on top. Again, another sign that I should leave, but I didnt.  I ordered the chicken box, which comes w/ 3 pieces of chicken, a biscuit and 1 side. HA! I asked for a breast, leg and wing.  What I received, i'm not sure.  The only piece that I was able to identify was a thigh (thus the name pies n thighs I guess).  The chicken was disgusting... and luke warm @ best. I mean for a small establishment, such as this, you would think that you could get fresh out of the oil hot fried chicken. I could have gotten fresher, tastier fried chicken at the local halal chicken spot.  Hell I could have gotten better fried chicken at the local chinese restaurant.  The biscuit that I received was COLD, HARD and UNAPPEALING! The collard greens, were a scam, nothing southern about them, and there was hot sauce poured all over them, which I did not ask for.  My friends Mac and cheese had hot sauce poured all over it as well, maybe they put the hot sauce on to mask the bad taste.  Who knows.  However, even with the bad food, there was one highlight.... THE LEMONADE!!! Yummy and refreshing.  I was tempted to try the pies, to see if there would be a saving grace for this place, but they all looked super stale and definitely not appetizing.  All in all, I spent $15 and went home hungry and with an aching belly.  This place does not scream ""southern cuisine"" and if all you're looking for is some good fried chicken, take your $11 and go to Popeye's where you can get 10 pcs of hot, tasty fried chicken for $10.99."
ZrdTKStTAo2pchslOev1KQ,"I've been here three times and every time I've been super satisfied. Their Tiffin Wallah set is filling and awesome! The dosas are great ( though I have soft spot for Saravana Bhavan)- their pakoras are the best fried happiness. The staff is super nice- its Kosher! Vegetarian! I came with a group that included vegan, halal, kosher friends- all happy. I probably have had better Indian food but, considering the small price, this has to have been my favorite meal in quite some time.
Feeling confident, we ordered the $14 sampler meals that is a stunning amount of food all brought to you at one time. For the one price you get 3 curries, two chutneys, rice, breads, and dessert. Amazing. There were 3 versions of these themed meals and we had 2 are both were worthy of praise with the breads being especially fresh.
With our favorite Halal truck nowhere to be seen the next night, we returned to Tiffin Wallah. Bouyed by the evident popularity of the crepe-like dosas with our fellow diners the previous night, I ordered one and it was a grand affair. About the size of an XL pizza skin folded into quarters it had curry tucked inside and excellent dipping sauces. I couldn't stop.
I would call the service attentive but I did not fell rushed. In fact, we stayed in our seats rather easily although it was not crowded. I enjoyed the mood in the place as it was far from the frantic pace of the life outside."
34zyzLqKbwSqCnF2vMtIRA,"This is definitely a savior for the Columbia U students and staff who are limited to the usual barrage of  Halal trucks and standard counter delis.  Frites 'n' Meats comes to town once a week for lunch and we at CU are glad to have them.

The burgers are great quality and are made to order (as long as you provide your superhero name) and the frites are the best within the one mile radius.  Be sure to try their burgers of the week and grab some garlic aioli for the frites.  

This truck is going to be a solid competitor for the new 5-Guys slated to open a mere five blocks away. Be sure to bring your hole punched card when you go back so you can earn yourself a free burger! literally just finished my angus burger.

the guys in the truck were friendly and we chatted about various burgers in the city. awesome guys, but back to the meat of the story.

i got an angus burger (medium rare) with applewood smoked bacon, Gruyère cheese, and the typical toppings of onion, tomato, lettuce. when it comes down to a burger, its all about the meat. it is its time to shine. the patty in my burger was good, but not great. even though it was supposed to be medium rare, it was well done all around the outsides. it was medium near the center of the patty. because of this, i believe it be become drier than it should have been for a medium rare burger. it was a bit charred, but not too bad that it would cover the flavor of the meat.

the fries, were not salty at all. i guess someone read the yelp reviews and cut back on the salt. but as god as my witness, i could have sworn these were mcdonald fries. it had the same shape and texture. it was very similar to McDonalds. even though, they were very good. i could eat a bucket of them. i got the sun dried tomato aioli which was awesome. the garlic aioli was fantastic. if you love garlic, you will love the aioli.  

all in all, it was a good burger. the only thing that would have made it a GREAT burger was if it was less well done and more medium to medium rare.

this is a great addition to the neighborhood filled with halal meat carts and hot dog vendors. i will definitely be back!"
HY2TVTqRB_Z_kYCBa7NO9w,"This place has been revived since ownership has changed.
I have been going here for 20years. Great local spot for a slice and pies for parties.
Now they have great burgers and Maybe the best Halal in the bronx! Great service, friendly staff, and great FOOD!
These guys make custom burgers, custom pizza slices, omlettes, smoothies, salads and halal food at great prices. Best option in the area in my opinion."
awxuFWRMamhQGenCwg7cSQ,"Walked in, the lady took my order 1 pork gyro without onions and 1 chicken gyro without onions or tomatoes. She takes my card for purchase. Comes back and tosses receipt and pen on the counter. A little rude, but whatever. Dude in kitchen makes pork gyro first. All good. He then makes my chicken gyro and throws a bunch of onions on the pita. I say ""I said no onions"". The girl then starts accusing me of saying I said ""extra onions"". It was back and forth of who said and who heard what. It was dumb. The guy making gyros shuts her up finally and grabs a new pita bread. Mind you I walked in knowing their letter grade was pending. I didn't even have to step in. I only came because I saw them featured on a local nyc tv show. The food was eh. Large portions, but kinda bland. You'll have to doctor it up at home if you get take out like me. Nothing amazing. The Halal Guys is much better with lots of flavor. Have been intrigued by the overwhelming popularity this place for quite some time. Went in last night and ordered chicken Gyro over rice platter (comes with a small side salad and two slices of pita).

I won't insult them by comparing it to halal cart at $6 because BZ is offering a much different level of quality . However - perhaps $12 would be more appropriate plus / minus drink. Roadside grill food truck under the train has an excellent chicken gyro platter (includes GREEK salad and rice ) for $9 and is just as good. Souvlaki guy cart under train has excellent quality pork souvlaki , well dressed , for $3 / stick.

The quality of the meat was OK and the people are friendly but I'm just floored by how expensive this was at $19.50 - no drink. the portion size was decent but....it's chicken over rice.  That is simply an incredible rip off - will never come back . I take my gyros seriously. I would even consider myself a gyro connoisseur, on the perpetual quest to find a restaurant on par with the city's halal carts.

Well look no further! After many failed attempts from nearby Astorian Greek restaurants (a lot of which were surprisingly gyro-less on their menus), I have found the perfectly stuffed pita with the most delectable gyro meat. I've had their gyros delivered many times, and even ate in once. Although the service is slightly slow, the staff is extremely friendly. My friend and I drank a few beers and nibbled on the Greek fries, so we didn't mind the wait at all.

Also, don't forget to try the platters! Once my boyfriend and I ordered the mix for two, and I don't think words can describe how delicious everything was (not to mention how huge the portion was). The vegetable platter is my favorite though, with the grilled haloumi and sautéed veggies. I recently moved to Astoria and this place happens to be near so I tried based on yelp review their famous pork gyro.  First time was amazing with juicy tender meats.  So I started getting them every other day.  I can tell you that I had the same thing at least 7 times so far. Unfortunately each time the amount of uneatable pork meat portion becomes larger and larger.  My last pork gyro had almost 1/2 of meats so thick, old,  and tough I had to throw all them out. I thought maybe it's just the color or the way meat looks so I actually physically tried to chew them.  Absolutely no chance of eating them.  I have included picture to prove it.  And mind you this is not the first time.  For the first few,  I gave them benefit of doubt.  Maybe the chef is subsitite,  maybe they had bad pork meat today.  But no EVERY SINGLE TIME I orders (so far 7 almost every or every other day)  it gets worse and worse.  Even 5 dollar halal cart gives me more quality meal than this

Another point?  Their pork gyro is $8.50 first few times I got charged exactly $8.50 until one Halloween night I was charged $9.25 and today was also $9.25. I pay cash all the time.  So it's sometimes $9.25 and sometimes $8.50? their lunch set is $10.00 and I got it only 3 times so far for exactly $10.00 Idk one day it will be $11? $12? At randome times? This adds to their shaydiness of their business.  And their crew is consistent,  a white girl and a skinny white guy and a muscular white guy are regular cashier/waiter/owners.  All the time.  So it can't be a newbies mistake.  So in the end,  I advise you if you want to get a meal that is cut in half than it's supposed to be and takes a while to eat it because you have to take out bad meats in order to chew the good ones while getting charged random prices for the sandwich , go ahead.  This place look so cheap and shady and it is unfortunate because it's nearby but no thank you I'm heading to subway instead,  and I believe I gave them fair opportunities before I write my review"
Wm2HlpBm6naywFQdsezUew,"Stopped in while I waited for a friend to get off work around lunch time. Walked in while on the phone, and assumed it was the chain of ""halal guys"". Unlike Halal guys, the food taste great! Personally, for my taste halal guys is bland, and the meat is not seasoned well, and the hot sauce is just too much. Here at Off The grill, the food tastes clean, well seasoned and the sauce does not overwhelm the food.

The location is prestige! Clean! Spotless! Looks as though they opened prior to me walking in. The staff are so friendly and polite, and you get a genuine smile, which is rare.

I came in around lunch time, was not so busy, but, I could see other professionals were dining in as well. I will definitely be back! I don't like it at all. Grabbed two chicken platters, was so excited but all the excitement lost at once when I tasted it. Chicken was not cooked well, so hard to chew and rice was the same, not fully cooked, The only two stars I am giving because of there customer service and way of talking in so polite manner, that's it, but if we talk about food, I don't like it, Juicy Platters and Halal guys are much better. So guys please improve your cooking skills, thanks. Please beware!!! This place says it's ""halal style"" on the website but its actually not halal! We went there for lunch and asked the owner to make sure, he said it's just ""halal style"" but the meat and chicken are just ""normal"" not halal. I had the chicken platter and a side of falafel. This is the best halal food I've ever had, everything was so fresh and  tasty. The place is clean and modern but obviously tables were put on the side due to Covid-19 restrictions.  The gentleman at the counter was polite and the prices are very reasonable.
There's plenty of parking since it's located at the Richfield shopping center. Anyway, I really recommend this restaurant; give it a shot, you won't be disappointed. Place is great if you want a nice platter like the halal guys. Always fresh and always clean. The workers are very helpful and always in a nice mood. So, Ive been going to Off the Grill for sometime now, my local go to when I am craving chicken and lamb platters or salad, it being one of the closest in taste to the original Halal Guys, even though they are a bit pricey.  

However, seems with the current Covid-19 crisis, their deliveries have taken a very noticeable dip in service.  Much smaller portions where they are no where near as big as they used to be, prices for delivery through the roof, and the food arriving cold, needing to be reheated (which is odd since the delivery arrived on time as expected, so assuming it was cold when it left).  We ordered falafel as well which came cold and soggy, reinforcing my theory of not cooked / reheated nearly enough prior to being picked up (or was it just sitting out for a while waiting for an order?)

I'd normally give 2 stars as the actual seasoning of the food is pretty close to being on point, it just the price, obvious shrinkage in size, and it being cold when delivered was just enough to drop them down to 1 star...  Hope they see this and address it. This place is bangin...I've had pretty much everything on their menu and I've never been disappointed. Kebab meat is so flavorful and everything is made fresh, pitas are so delicious and soft. I never really liked halal food until I tried this place. I've been here a total of 3 times and the first 2 were great I was so happy a place like this opened up close to the area but the 3rd and final time I ordered 3 platters on Uber Eats to my work and as I was eating it I found beard hair in my platter. I was so disgusted because it wasn't just 1. There were a few. I was so disappointed because I wanted to like this place but after contacting Uber eats and my bank they refunded me for my order but kept reversing the claim. I've given up on this place and how they handle situations with unsanitary food. It's really a shame and gross. I'll be sticking to Halal Guys who has never let me down. Hungry for a quick lunch after watching movie at Clifton AMC..came across this place and gave it a shot. Hit the spot for a halal craving, quality food for a fair price. Steady flow of customers getting take out as we enjoyed our meal in the clean dining area. Staff/owner(?) was very friendly. Would definitely come by again for my gyro or chicken and rice fix. Thanks! Came to this place on a weekday night. It's a casual spot and it's kept super clean and nice. I ate in at this place, but lots of people came by and grabbed takeout. I was really pleased with the staff and how fast the food was prepared.

I got the combo platter which is what I usually get at my go to places like The Halal Guys in the city. It tasted good and cost $9 and had plenty leftover! The food is immaculate. Could not be better. Much better than Juicy Platters or Halal Guys. Stopped in after a long time of driving past it. Must say it was pretty good. Better than I expected to be honest. Better than the chain of halal guys that have come into NJ. Hot sauce is hot, so if you're not too into it either get only 1 line or no hot sauce. I didn't mind that I was sweating because I got 2 lines of hot sauce.  Everything tasted pretty fresh and fair priced. Yum! Saw this place randomly and thought why not. I've always liked halal/Mediterranean food and this place did not disappoint. This place was completely empty when I was there and I had a chance to meet the owner who was very nice.

I had the combo of chicken and lamb over rice and it was delicious and fresh. Price was higher than what I usually pay in NYC for halal food but the food here was slightly fresher and higher quality.

Overall this will be my go to spot for halal/Mediterranean food if I'm in the area. I sincerely hope they do well and stay This was very tasty. Much better than Halal Guys. Got the combo, portion was huge and under 10 bucks. Can't go wrong with that. Clean restaurant. Owner was nice. Not a big fan of the diamond plate decoration but it's the food that matters. Far away from the city, had to fulfill my gyro craving. This place popped up on Yelp and I decided to give it a try. I mean, what could go wrong with chicken, rice and salad.
Contrary to my low expectations, this place was excellent. The staff were courteous and friendly and offered some extras too as it was our first time in the area. We ordered the chicken platter and one mixed platter (chicken and beef mixed with lamb). The salad was fresh and crunchy, unlike some other gyro places I tried. The sauces on the side were excellent. The red sauce isn't as spicy as the Halal guys sauce, but did the job for my strong Indian palate.
We briefly met the owner who would make it a point to come check on all his customers. He seemed like a passionate man, who loved doing what he did. Wonderful attitude.
I genuinely enjoyed my dinner and will definitely return!"
zMV3am6rEoP43jLeHvzUeA,"I pass them nearly every night, and I admire them for their presence adding a little variety to the late-night food truck scene behind halal carts and tacos.  Finally gave them a try, though, and was woefully underwhelmed.  I was handed a chargrilled heap - black from the griddle and tasting of smoke more than anything else.

You get sour cream on top, but it's doled out from a dressing bottle in a conservative fashion that hardly covers the large portion size.  

It's cool they're made to order, and I get that all of this is maybe just their ""style,"" but don't come expecting this to be a convenient Westside answer to Veselka.  It's not. Wow is all I can say. I've never had Russian dumplings before and I never thought they would be so flavorful. I got the chicken teriyaki special which are basically chicken dumplings with chives and sesame seeds. The dumplings were pan fried so they aren't soggy, and each bite is bursting with juicy flavor. For $7 it really is a deal, especially given the shitty and overpriced food options in the area.

I've had my fair share of dumplings, but the next time I'm in the mood I know where I'll be going.

Bonus star for the design of the cart which is much more interesting than the other halal and got dog carts throughout the city."
ZouH4imW3QVxCgq4zy3QRA,"No more Sabrett hot dogs in NYC as we knew it long time ago... All the hot dog stands have been taken over by Halal Food owners (which is fine, but), and the hot dog tastes terrible, and the onion sauce isn't the same. So psst. I went to New York with misplaced idea of how delicious the street dogs would be.  I feel like i was lied to by popular culture.  Those things are below average at best and lead to a not so good feeling inside your belly.  Thank god for all the halal food trucks or I would have starved."
TVqGgXmNH8wPZpHX-GWD4g,"The burgers are so good and they use Halal beef. Great place for a quick bite. Definitely under rated due to unreal expectations. Had a cheeseburger, fries, coke. At first it looked dry, but when I bit into it the flavor was delicious. It's not a fancy place, but it is a step up from the fried chicken joints. I'm such a fatty I almost ordered another burger. Halal = better quality meat. Also the cashier was mysterious and hot and sweet. Heyyyyyy. What drew me into this place besides having a few drinks in me was that it's halal and I equate halal food with freshness, so here goes...

1. Fried Chicken - juicy, moist, crispy skin - what more can you ask for of your fried brethren
2. Biscuits - little grainy but not overly sweet; good for slathering on some honey or dunking in gravy
3. Side of veggies - boiled, overcooked and bland :/

Haven't tried anything else yet on their menu and chances are I won't if I want to stick to not particularly eating fried food but a girl can dream...

""Fried chicken just tend to make you feel better about life."" Crown Friend Chicken is beta and Chubby's is 2.0.  Its just a step above the ghetto fried chicken places that I go to in Brooklyn if not the same thing.  The only difference they have kabab.  Place basically serves frozen food just like any other fast food place except some items are halal.  

Place is definitely over-hyped !

You will get a good meal don't get me wrong but its nothing out of the ordinary.  I can make this stuff at home. Having picked up a menu ahead of time, i finally decided to grab some food and check the place out.  From the menu, I knew or should I say, I hoped for food above the regular fast-food chain quality, unfortunately that wasn't the case.  Grabbing food for a few people, I ordered the 5oz burger, 10oz burger chubby burger with cheese (asked for mushroom, jalapeño, fried onion additions), 2 spicy chicken sandwiches, beef cheesesteak, and side orders of corn and onion rings.  
Unfortunately, both chicken sandwiches were not in the order but was charged and yes I should have checked before leaving.  Surprisingly, the 5oz burger was par at best, however the chubby burger (again, minus the additional asked choices) still appeared to be more flavorful and felt worth the paid price.  The cheesesteak on the other hand was decent and something I could recommend for others to try without hesitation.

Yes the venue is Halal and a good option for the strictly halal patrons, but for all others, it is just an option with other locales in the neighborhood. It is a fast food, halal chicken spot. The food is good and fulfilling and the staff is very friendly. I always ask for a double grilled chicken sandwich or a platter for my post-workout meal. The only reason this place is undeserving of the 5th star is not because of the service, food or cleanliness- It is the quality of people that pour into this joint from the next door nightclub/lounge. If you go after 10 PM, you'll see a fair share of drunk, obnoxious, ghetto and trashy folks acting like a bunch of juvenile delinquents. Nonetheless, this is still a fun place to eat. Food was good ordered the hot wings and fries a burger and chicken and rice plate that comes with a salad.
Loved my wings and fries exactly what I wanted the chicken and rice is like halal style / tasting so ok . And burger was ok. But I'm not a huge burger fan . It did what it needed to do . 3 stars on the food
2. Missing bc inside was like gross and dirty the tables needed to be wiped the floor moped  the chairs wiped it looked sticky and a layer of dirt just a good clean down over all. I didn't want to sit down to eat but I was so hungry couldn't wait . The surroundings was so ew
My chicken was though hot juicy and good flavor . Go if you must in a rush quick fast food bite but not your regular run to stop. I really think this place was a solid two star since ""I've had better"" but I decided to give it a three because it is halal and I think it's good that they are able to give burgers, fries and fried chicken to people with dietary needs.  Everyone deserves to have some fatty food sometimes! I asked the guy working there how long the place has been open and he said two months.  So it is brand new.  Maybe they will get better!

Below are the foods I tried:
-Fried chicken: Nice and crispy but the coating was not enough.  The chicken was also very dry and did not have enough seasoning.
-5 oz cheeseburger: It had american cheese, mayo, ketchup and other standard burger toppings.  The patty itself was bland (like the chicken).  It need much more flavor and it was also very dry.
-Mac&Cheese: Good! But nothing special.
-Mashed Potatoes: A little strange.  They were mashed potato balls swimming in gravy.
-French Fries: Nothing special but fine.

Maybe I'll give them a try again in a few months and see how they are! These guys are a great fast food alternative that's actually halal. The spicy chicken sandwich reminds me of the Wendy's one before I reverted. And sometimes on good days their fries are awesome. But, the service is kinda shoddy. A handful of times they have messed up our orders by either forgetting item orders completely or parts of the meals. The most recent experience tipped me over the edge to actually write this. My wife likes to get their 6 or 10 pc. Chicken meal. This time on a 10 pc. order, there were only 8. It's happened before in the past where 1 or 2 were missing but usually we just brushed it off, but since this is a recurring thing my wife decided to call them out on it. The associate on the phone said they don't count when they pick the chicken. Well, why not? If that's the case they shouldn't have a specific number on the menu. List the menu item by weight or size (ex. s, m, l) if you have an issue with counting how many you put in the box. When the delivery guy came with the apologetic replacement item he asked what had happened. I couldn't fully understand what he was saying but it felt like he got defensive and was insinuating that we were lying, since ""I've been delivering for months now.""? And ""It's been 2 hours since I last came.""? I don't really know what he was talking about because this was at 6:40ish and the orginal order came at 5:35 just before I had to walk our dog. So lesson learned don't order delivery from here often because the likelihood of a screw up is just a little too high. If your a muslim in the neighborhood craving fast food it's an ok place (and only option, sadly) to just pop in."
MQTiDKvuKFobyaHjdbDmnA,"Went here to grab some halal food with my siblings. We went on a friday night and it was completely empty. I ordered a #6 that came with 8 piece BBQ wings, fries and a fountain drink. My sister accidentally ordered the wrong sandwich and after arriving the guy generously offered to remake the order and allowed us to keep the sandwich. service was really fast and the workers are extremely polite. definitely recommend going there for a quick grab . I have tried their plain cheese on several occasions and never been disappointed.
Ventured out to try their veggie one recently.. what a disaster! It was as if they dumped shop rite's produce section on a 14 inch pie...yuck. the pie was super soggy, and wasn't even ready on time! The guy who took my order realized 15 mins later that he hadn't send the slip of paper on to the back.. ugh. Worse: no apology, no recognition of his mistake.
Garlic knots were like doughy asteroids shot up from the caverns of hell. Absolutely no taste of garlic. Just big, hard... balls... *ahem*.
Im happy to say though that the kettle cooked potato chips were fantastic!!
Never going back to panatieri.. I recommend stelton pizzeria, rose's pizza & halal, and target's archer farms pizzas."
